fn,bbox
30.tif,"[[182, 41, 214, 73], [82, 10, 114, 42], [105, 62, 137, 94], [65, 152, 97, 184], [137, 141, 169, 173], [84, 185, 116, 217], [158, 167, 190, 199]]"
31.tif,"[[51, 19, 83, 51], [208, 157, 240, 189], [101, 90, 133, 122], [108, 127, 140, 159], [132, 179, 164, 211], [-6, 116, 26, 148]]"
32.tif,"[[134, 140, 166, 172], [27, 73, 59, 105], [34, 110, 66, 142], [57, 162, 89, 194]]"
33.tif,"[[-2, 26, 30, 58], [155, 165, 187, 197], [48, 97, 80, 129], [55, 134, 87, 166], [79, 186, 111, 218]]"
34.tif,"[[175, 184, 207, 216], [144, 52, 176, 84], [47, 38, 79, 70], [17, 73, 49, 105]]"
35.tif,"[[154, 20, 186, 52], [149, 192, 181, 224], [109, 76, 141, 108], [54, 53, 86, 85], [49, 110, 81, 142], [16, 207, 48, 239]]"
36.tif,"[[205, 21, 237, 53], [99, 47, 131, 79], [196, 199, 228, 231], [111, 203, 143, 235]]"
37.tif,"[[92, 48, 124, 80], [-8, 18, 24, 50], [15, 70, 47, 102], [148, 126, 180, 158], [170, 182, 202, 214], [48, 148, 80, 180], [-6, 193, 26, 225], [69, 175, 101, 207]]"
38.tif,"[[27, -1, 59, 31], [83, 76, 115, 108], [105, 132, 137, 164], [4, 125, 36, 157], [55, 168, 87, 200]]"
39.tif,"[[199, 11, 231, 43], [159, 101, 191, 133], [177, 135, 209, 167], [77, 208, 109, 240], [74, 105, 106, 137]]"
40.tif,"[[161, -8, 193, 24], [84, 13, 116, 45], [45, 103, 77, 135], [117, 92, 149, 124], [63, 137, 95, 169], [137, 119, 169, 151], [95, 182, 127, 214], [189, 162, 221, 194]]"
41.tif,"[[126, 14, 158, 46], [200, -5, 232, 27], [158, 59, 190, 91], [190, 120, 222, 152], [109, 173, 141, 205], [88, 149, 120, 181], [10, 180, 42, 212], [25, 87, 57, 119]]"
42.tif,"[[176, 36, 208, 68], [198, 92, 230, 124], [4, 70, 36, 102], [76, 59, 108, 91], [22, 103, 54, 135], [97, 85, 129, 117], [54, 149, 86, 181], [148, 128, 180, 160], [169, 188, 201, 220]]"
43.tif,"[[79, -3, 111, 29], [152, -14, 184, 18], [98, 31, 130, 63], [172, 13, 204, 45], [130, 76, 162, 108], [162, 137, 194, 169], [81, 190, 113, 222], [60, 166, 92, 198], [-3, 104, 29, 136], [-6, 1, 26, 33]]"
44.tif,"[[66, 27, 98, 59], [16, 63, 48, 95], [37, 123, 69, 155], [110, 159, 142, 191], [47, 174, 79, 206]]"
45.tif,"[[94, -3, 126, 29], [-8, -11, 24, 21], [44, 32, 76, 64], [65, 92, 97, 124], [138, 128, 170, 160], [75, 144, 107, 176], [147, 207, 179, 239], [11, 204, 43, 236]]"
46.tif,"[[48, -8, 80, 24], [66, 26, 98, 58], [140, 8, 172, 40], [98, 71, 130, 103], [192, 50, 224, 82], [130, 132, 162, 164], [49, 185, 81, 217], [28, 161, 60, 193]]"
47.tif,"[[23, 7, 55, 39], [32, 86, 64, 118], [1, 157, 33, 189], [138, 174, 170, 206]]"
48.tif,"[[198, -1, 230, 31], [22, 10, 54, 42], [97, -9, 129, 23], [54, 55, 86, 87], [148, 34, 180, 66], [169, 94, 201, 126], [86, 116, 118, 148], [179, 146, 211, 178], [115, 206, 147, 238], [5, 169, 37, 201]]"
49.tif,"[[152, -14, 184, 18], [89, 1, 121, 33], [161, 65, 193, 97], [130, 136, 162, 168], [108, 82, 140, 114], [25, 62, 57, 94], [29, 115, 61, 147], [29, 161, 61, 193], [104, 202, 136, 234]]"
50.tif,"[[114, 52, 146, 84], [92, -2, 124, 30], [13, 31, 45, 63], [13, 77, 45, 109], [88, 117, 120, 149], [88, 177, 120, 209], [-3, 189, 29, 221]]"
51.tif,"[[124, 37, 156, 69], [92, 108, 124, 140], [70, 54, 102, 86], [-13, 34, 19, 66], [-9, 87, 23, 119], [-9, 133, 23, 165], [66, 173, 98, 205]]"
52.tif,"[[-15, -13, 17, 19], [18, 33, 50, 65], [111, 12, 143, 44], [133, 72, 165, 104], [50, 94, 82, 126], [205, 108, 237, 140], [143, 123, 175, 155], [161, 204, 193, 236], [79, 184, 111, 216]]"
53.tif,"[[141, 30, 173, 62], [173, 91, 205, 123], [202, 181, 234, 213], [92, 144, 124, 176], [71, 120, 103, 152], [6, 188, 38, 220], [-7, 151, 25, 183], [8, 57, 40, 89]]"
54.tif,"[[190, 76, 222, 108], [168, 52, 200, 84], [120, 180, 152, 212], [104, 121, 136, 153], [90, 83, 122, 115], [43, 36, 75, 68], [106, -11, 138, 21]]"
55.tif,"[[73, 6, 105, 38], [166, 35, 198, 67], [207, 170, 239, 202], [184, 116, 216, 148], [102, 96, 134, 128], [-8, 58, 24, 90], [20, 139, 52, 171], [105, 149, 137, 181], [105, 195, 137, 227]]"
56.tif,"[[117, 28, 149, 60], [16, 7, 48, 39], [16, 53, 48, 85], [91, 93, 123, 125], [91, 153, 123, 185], [50, 204, 82, 236], [0, 165, 32, 197]]"
57.tif,"[[193, 6, 225, 38], [92, -15, 124, 17], [92, 32, 124, 64], [-11, 46, 21, 78], [167, 72, 199, 104], [167, 132, 199, 164], [126, 183, 158, 215], [76, 143, 108, 175]]"
58.tif,"[[188, -5, 220, 27], [170, 65, 202, 97], [159, 121, 191, 153], [114, 182, 146, 214], [40, 158, 72, 190], [97, 80, 129, 112], [90, 19, 122, 51]]"
59.tif,"[[134, -11, 166, 21], [102, 60, 134, 92], [80, 6, 112, 38], [-3, -14, 29, 18], [1, 39, 33, 71], [1, 85, 33, 117], [76, 126, 108, 158], [76, 185, 108, 217], [-15, 197, 17, 229]]"
60.tif,"[[63, -11, 95, 21], [32, 59, 64, 91], [9, 6, 41, 38], [6, 125, 38, 157], [168, 76, 200, 108], [5, 185, 37, 217]]"
61.tif,"[[152, 45, 184, 77], [130, -9, 162, 23], [51, 24, 83, 56], [51, 70, 83, 102], [126, 111, 158, 143], [126, 170, 158, 202], [35, 182, 67, 214]]"
62.tif,"[[90, -11, 122, 21], [-11, 15, 21, 47], [64, 55, 96, 87], [64, 115, 96, 147], [23, 166, 55, 198]]"
63.tif,"[[186, 70, 218, 102], [89, 28, 121, 60], [163, 138, 195, 170], [118, 172, 150, 204], [43, 89, 75, 121], [-4, 130, 28, 162], [26, -13, 58, 19]]"
64.tif,"[[199, 9, 231, 41], [181, 79, 213, 111], [170, 135, 202, 167], [125, 196, 157, 228], [52, 172, 84, 204], [-14, 144, 18, 176], [108, 94, 140, 126], [101, 33, 133, 65]]"
65.tif,"[[91, 32, 123, 64], [41, -8, 73, 24], [18, 61, 50, 93], [52, 193, 84, 225]]"
66.tif,"[[180, 46, 212, 78], [83, 4, 115, 36], [158, 114, 190, 146], [112, 148, 144, 180], [37, 66, 69, 98], [28, 197, 60, 229], [-9, 106, 23, 138]]"
67.tif,"[[205, -7, 237, 25], [193, 49, 225, 81], [148, 110, 180, 142], [101, 151, 133, 183], [-1, 176, 31, 208], [44, 177, 76, 209], [75, 86, 107, 118], [9, 59, 41, 91], [131, 8, 163, 40]]"
68.tif,"[[49, 41, 81, 73]]"
69.tif,"[[155, 15, 187, 47], [146, 146, 178, 178], [102, 186, 134, 218], [108, 55, 140, 87], [44, 175, 76, 207], [5, 81, 37, 113], [51, 81, 83, 113], [81, -9, 113, 23]]"
70.tif,"[[61, 159, 93, 191], [117, 107, 149, 139], [127, 55, 159, 87], [146, 5, 178, 37], [27, 6, 59, 38], [16, 68, 48, 100]]"
71.tif,"[[29, 118, 61, 150], [85, 65, 117, 97], [95, 14, 127, 46]]"
72.tif,"[[73, 203, 105, 235], [129, 150, 161, 182], [139, 99, 171, 131], [158, 48, 190, 80], [39, 50, 71, 82], [28, 111, 60, 143]]"
73.tif,"[[1, 183, 33, 215], [10, 131, 42, 163], [29, 81, 61, 113]]"
74.tif,"[[129, 8, 161, 40], [140, 186, 172, 218], [90, 81, 122, 113], [86, 48, 118, 80], [28, 37, 60, 69], [22, 188, 54, 220]]"
75.tif,"[[168, 55, 200, 87], [84, 103, 116, 135], [44, 176, 76, 208], [41, 144, 73, 176], [46, 13, 78, 45], [-11, 39, 21, 71]]"
76.tif,"[[172, 99, 204, 131], [133, 172, 165, 204], [129, 140, 161, 172], [135, 9, 167, 41], [71, 129, 103, 161], [7, 118, 39, 150], [32, 34, 64, 66], [77, 35, 109, 67]]"
77.tif,"[[142, 65, 174, 97], [102, 138, 134, 170], [98, 105, 130, 137], [41, 94, 73, 126], [2, 0, 34, 32], [47, 1, 79, 33]]"
78.tif,"[[186, 88, 218, 120], [111, 1, 143, 33], [-3, 92, 29, 124], [31, 94, 63, 126], [31, 150, 63, 182], [105, 139, 137, 171], [161, 166, 193, 198]]"
79.tif,"[[175, 208, 207, 240], [181, 78, 213, 110], [118, 197, 150, 229], [54, 186, 86, 218], [79, 103, 111, 135], [124, 104, 156, 136], [155, 13, 187, 45], [89, -14, 121, 18], [16, -10, 48, 22]]"
80.tif,"[[164, 109, 196, 141], [100, 98, 132, 130], [125, 15, 157, 47], [170, 16, 202, 48], [26, 12, 58, 44], [19, 150, 51, 182], [76, 177, 108, 209]]"
81.tif,"[[182, -3, 214, 29], [171, 53, 203, 85], [200, 196, 232, 228], [125, 114, 157, 146], [78, 155, 110, 187], [21, 181, 53, 213], [52, 90, 84, 122], [-14, 62, 18, 94], [108, 12, 140, 44]]"
82.tif,"[[176, 162, 208, 194], [110, 135, 142, 167], [64, 35, 96, 67], [37, 139, 69, 171]]"
83.tif,"[[203, 203, 235, 235], [130, 179, 162, 211], [64, 152, 96, 184], [186, 101, 218, 133], [179, 40, 211, 72], [18, 52, 50, 84], [-9, 156, 23, 188]]"
84.tif,"[[180, 200, 212, 232], [173, 139, 205, 171], [12, 151, 44, 183], [156, 79, 188, 111], [143, 42, 175, 74], [96, -5, 128, 27], [28, 15, 60, 47]]"
85.tif,"[[172, 190, 204, 222], [106, 163, 138, 195], [61, 63, 93, 95], [205, -9, 237, 23], [33, 168, 65, 200]]"
86.tif,"[[144, 23, 176, 55], [123, -1, 155, 31], [173, 103, 205, 135], [155, 173, 187, 205], [82, 188, 114, 220], [75, 127, 107, 159], [58, 67, 90, 99], [45, 30, 77, 62]]"
87.tif,"[[152, -7, 184, 25], [184, 38, 216, 70], [135, 152, 167, 184], [114, 128, 146, 160], [50, 197, 82, 229], [36, 159, 68, 191], [-11, 112, 21, 144], [52, 66, 84, 98]]"
88.tif,"[[175, 103, 207, 135], [120, 20, 152, 52], [107, 123, 139, 155], [59, 101, 91, 133], [65, 52, 97, 84], [0, 3, 32, 35]]"
89.tif,"[[72, 197, 104, 229], [135, 150, 167, 182], [131, 48, 163, 80], [17, 114, 49, 146]]"
90.tif,"[[120, 0, 152, 32], [143, 52, 175, 84], [6, -10, 38, 22], [104, 142, 136, 174], [176, 131, 208, 163], [122, 175, 154, 207], [196, 157, 228, 189], [18, 146, 50, 178]]"
91.tif,"[[147, 175, 179, 207], [100, 128, 132, 160], [163, 81, 195, 113], [45, 45, 77, 77], [32, 148, 64, 180], [-10, 77, 22, 109]]"
92.tif,"[[188, 206, 220, 238], [181, 144, 213, 176], [20, 156, 52, 188], [165, 85, 197, 117], [151, 47, 183, 79], [104, 0, 136, 32], [36, 20, 68, 52], [-12, -2, 20, 30]]"
93.tif,"[[199, 190, 231, 222], [152, 143, 184, 175], [97, 60, 129, 92], [84, 163, 116, 195], [36, 141, 68, 173], [43, 92, 75, 124]]"
94.tif,"[[202, 26, 234, 58], [141, 175, 173, 207], [127, 59, 159, 91], [9, -14, 41, 18], [80, 68, 112, 100], [15, 126, 47, 158]]"
95.tif,"[[172, 121, 204, 153], [69, 147, 101, 179], [115, 147, 147, 179], [145, 57, 177, 89], [80, 29, 112, 61], [7, 34, 39, 66]]"
96.tif,"[[129, 132, 161, 164], [74, 164, 106, 196], [91, 8, 123, 40], [9, 115, 41, 147], [25, 4, 57, 36]]"
97.tif,"[[130, 168, 162, 200], [64, 164, 96, 196], [85, 128, 117, 160], [128, 99, 160, 131], [194, -13, 226, 19], [39, 30, 71, 62], [1, 17, 33, 49], [12, 112, 44, 144], [1, 177, 33, 209]]"
98.tif,"[[186, 155, 218, 187], [202, 44, 234, 76], [150, -8, 182, 24], [139, 56, 171, 88], [41, 16, 73, 48], [24, 69, 56, 101], [119, 146, 151, 178]]"
99.tif,"[[117, 143, 149, 175], [52, 139, 84, 171], [72, 103, 104, 135], [115, 74, 147, 106], [26, 5, 58, 37], [-11, -8, 21, 24], [-1, 87, 31, 119], [-12, 151, 20, 183]]"
100.tif,"[[160, 137, 192, 169], [94, 133, 126, 165], [114, 97, 146, 129], [158, 68, 190, 100], [69, -1, 101, 31], [31, -15, 63, 17], [42, 81, 74, 113], [31, 145, 63, 177]]"
101.tif,"[[182, 2, 214, 34], [194, 158, 226, 190], [42, 100, 74, 132], [-3, 60, 29, 92], [41, 32, 73, 64]]"
102.tif,"[[170, -14, 202, 18], [164, 158, 196, 190], [124, 42, 156, 74], [70, 19, 102, 51], [65, 76, 97, 108], [32, 173, 64, 205]]"
103.tif,"[[166, 168, 198, 200], [208, 110, 240, 142]]"
104.tif,"[[98, 174, 130, 206], [32, 170, 64, 202], [52, 133, 84, 165], [96, 105, 128, 137], [162, -8, 194, 24], [7, 36, 39, 68]]"
105.tif,"[[130, 113, 162, 145], [85, 175, 117, 207], [47, 161, 79, 193], [173, 54, 205, 86]]"
106.tif,"[[177, 110, 209, 142], [111, 106, 143, 138], [131, 70, 163, 102], [175, 41, 207, 73], [58, 54, 90, 86], [47, 118, 79, 150], [28, 208, 60, 240]]"
107.tif,"[[199, 147, 231, 179], [144, 179, 176, 211], [161, 23, 193, 55], [79, 130, 111, 162], [95, 19, 127, 51], [32, 32, 64, 64], [12, 121, 44, 153]]"
108.tif,"[[151, 202, 183, 234], [137, 85, 169, 117], [19, 13, 51, 45], [90, 94, 122, 126], [25, 153, 57, 185]]"
109.tif,"[[204, -2, 236, 30], [105, 208, 137, 240], [170, 95, 202, 127], [61, 77, 93, 109], [16, 139, 48, 171], [103, 18, 135, 50]]"
110.tif,"[[159, 22, 191, 54], [173, 193, 205, 225], [118, 170, 150, 202], [88, 38, 120, 70], [-9, 25, 23, 57]]"
111.tif,"[[166, 184, 198, 216], [70, 170, 102, 202], [40, 206, 72, 238]]"
112.tif,"[[205, 127, 237, 159], [108, 113, 140, 145], [79, 148, 111, 180]]"
113.tif,"[[159, 128, 191, 160], [19, -12, 51, 20], [57, 42, 89, 74]]"
114.tif,"[[177, 29, 209, 61], [112, 22, 144, 54], [54, 30, 86, 62], [-15, 94, 17, 126], [47, 138, 79, 170], [143, 120, 175, 152], [126, 173, 158, 205]]"
115.tif,"[[202, 82, 234, 114], [137, 111, 169, 143], [72, 103, 104, 135], [14, 112, 46, 144], [104, 202, 136, 234]]"
116.tif,"[[162, 78, 194, 110], [96, 70, 128, 102], [38, 79, 70, 111], [32, 186, 64, 218], [128, 169, 160, 201]]"
117.tif,"[[201, 58, 233, 90], [143, 66, 175, 98], [74, 130, 106, 162], [136, 174, 168, 206], [11, 26, 43, 58], [15, 96, 47, 128], [-1, 136, 31, 168]]"
118.tif,"[[203, 2, 235, 34], [203, 162, 235, 194], [139, 31, 171, 63], [73, 23, 105, 55], [16, 31, 48, 63], [9, 139, 41, 171], [105, 122, 137, 154], [88, 174, 120, 206]]"
119.tif,"[[196, 38, 228, 70], [159, 24, 191, 56], [169, 120, 201, 152], [158, 184, 190, 216], [94, 53, 126, 85], [29, 45, 61, 77], [61, 144, 93, 176], [43, 196, 75, 228]]"
120.tif,"[[5, 15, 37, 47], [67, 59, 99, 91], [163, 41, 195, 73], [146, 94, 178, 126], [-1, 150, 31, 182], [7, 191, 39, 223]]"
121.tif,"[[170, 34, 202, 66], [103, 101, 135, 133], [174, 183, 206, 215], [34, 156, 66, 188]]"
122.tif,"[[192, 200, 224, 232], [142, 60, 174, 92], [74, 128, 106, 160], [6, 182, 38, 214]]"
123.tif,"[[208, 95, 240, 127], [160, 73, 192, 105], [167, 23, 199, 55], [85, 105, 117, 137], [38, 114, 70, 146]]"
124.tif,"[[180, 61, 212, 93], [41, 34, 73, 66], [115, 120, 147, 152], [1, 90, 33, 122], [0, 158, 32, 190]]"
125.tif,"[[126, 20, 158, 52], [12, -10, 44, 22], [11, 59, 43, 91], [27, 119, 59, 151], [90, 139, 122, 171], [110, 126, 142, 158], [201, 189, 233, 221], [130, 157, 162, 189], [-4, 200, 28, 232]]"
126.tif,"[[167, 59, 199, 91], [128, 114, 160, 146], [127, 183, 159, 215], [66, -2, 98, 30], [25, 22, 57, 54], [12, 47, 44, 79], [34, 84, 66, 116], [-15, 116, 17, 148]]"
127.tif,"[[200, 42, 232, 74], [87, 13, 119, 45], [85, 81, 117, 113], [102, 141, 134, 173], [165, 161, 197, 193], [185, 148, 217, 180], [205, 179, 237, 211], [-13, 112, 19, 144], [37, 141, 69, 173]]"
128.tif,"[[126, 6, 158, 38], [125, 74, 157, 106], [141, 135, 173, 167], [204, 154, 236, 186], [-12, 121, 20, 153], [27, 105, 59, 137], [77, 134, 109, 166], [-5, 182, 27, 214]]"
129.tif,"[[9, 39, 41, 71], [72, 58, 104, 90], [92, 46, 124, 78], [183, 109, 215, 141], [112, 77, 144, 109], [63, 132, 95, 164], [117, 180, 149, 212], [186, 195, 218, 227], [-12, 188, 20, 220]]"
130.tif,"[[169, 111, 201, 143], [155, -6, 187, 26], [108, 3, 140, 35], [43, 62, 75, 94], [7, 181, 39, 213], [27, 168, 59, 200], [47, 199, 79, 231]]"
131.tif,"[[162, 43, 194, 75], [45, 49, 77, 81], [48, 135, 80, 167], [101, 75, 133, 107], [125, 152, 157, 184]]"
132.tif,"[[-9, -11, 23, 21], [7, 50, 39, 82], [70, 69, 102, 101], [90, 57, 122, 89], [181, 120, 213, 152], [110, 88, 142, 120], [61, 143, 93, 175], [115, 191, 147, 223], [184, 206, 216, 238], [-14, 199, 18, 231]]"
133.tif,"[[183, -8, 215, 24], [63, 16, 95, 48], [117, 63, 149, 95], [186, 78, 218, 110], [-12, 72, 20, 104], [27, 156, 59, 188], [56, 163, 88, 195], [149, 186, 181, 218], [183, 189, 215, 221], [49, 208, 81, 240]]"
134.tif,"[[197, 70, 229, 102], [-11, 14, 21, 46], [80, 77, 112, 109], [8, 45, 40, 77], [14, 148, 46, 180], [82, 163, 114, 195], [136, 103, 168, 135], [160, 180, 192, 212]]"
135.tif,"[[200, 73, 232, 105], [-9, 17, 23, 49], [83, 80, 115, 112], [11, 48, 43, 80], [16, 151, 48, 183], [85, 166, 117, 198], [139, 106, 171, 138], [163, 183, 195, 215]]"
136.tif,"[[124, 1, 156, 33], [3, 24, 35, 56], [57, 72, 89, 104], [126, 87, 158, 119], [179, 27, 211, 59], [203, 104, 235, 136], [-3, 172, 29, 204], [89, 195, 121, 227], [124, 197, 156, 229]]"
137.tif,"[[174, 109, 206, 141], [111, 98, 143, 130], [135, 15, 167, 47], [181, 16, 213, 48], [36, 11, 68, 43], [30, 150, 62, 182], [86, 176, 118, 208]]"
138.tif,"[[125, -3, 157, 29], [141, 58, 173, 90], [204, 77, 236, 109], [195, 151, 227, 183], [110, 139, 142, 171], [120, 207, 152, 239], [-12, 45, 20, 77], [27, 28, 59, 60], [77, 58, 109, 90], [-5, 105, 27, 137], [48, 161, 80, 193]]"
139.tif,"[[91, -6, 123, 26], [145, 41, 177, 73], [16, 49, 48, 81], [-15, 58, 17, 90], [-7, 140, 25, 172], [55, 134, 87, 166], [85, 141, 117, 173], [177, 164, 209, 196], [78, 186, 110, 218], [18, 195, 50, 227]]"
140.tif,"[[154, 28, 186, 60], [123, 36, 155, 68], [131, 118, 163, 150], [194, 112, 226, 144], [156, 173, 188, 205], [-4, 48, 28, 80]]"
141.tif,"[[177, 28, 209, 60], [186, 96, 218, 128], [156, 104, 188, 136], [164, 186, 196, 218], [62, -7, 94, 25], [115, 50, 147, 82], [7, 77, 39, 109], [28, 116, 60, 148]]"
142.tif,"[[99, 32, 131, 64], [153, 80, 185, 112], [14, 20, 46, 52], [23, 88, 55, 120], [-7, 97, 25, 129], [1, 179, 33, 211], [63, 173, 95, 205], [92, 180, 124, 212], [184, 203, 216, 235]]"
143.tif,"[[204, -1, 236, 31], [75, 7, 107, 39], [44, 16, 76, 48], [52, 97, 84, 129], [114, 92, 146, 124], [144, 99, 176, 131], [201, 173, 233, 205], [136, 144, 168, 176], [77, 153, 109, 185]]"
144.tif,"[[198, 126, 230, 158], [46, 22, 78, 54], [123, 39, 155, 71], [9, 130, 41, 162], [44, 133, 76, 165], [43, 188, 75, 220], [117, 178, 149, 210], [174, 204, 206, 236]]"
145.tif,"[[104, 2, 136, 34], [173, 17, 205, 49], [14, 95, 46, 127], [44, 103, 76, 135], [136, 125, 168, 157], [170, 128, 202, 160], [170, 183, 202, 215], [102, 177, 134, 209], [37, 147, 69, 179]]"
146.tif,"[[167, -9, 199, 23], [8, 69, 40, 101], [38, 76, 70, 108], [130, 99, 162, 131], [164, 102, 196, 134], [164, 157, 196, 189], [95, 150, 127, 182], [31, 121, 63, 153]]"
147.tif,"[[-4, 56, 28, 88], [25, 63, 57, 95], [117, 85, 149, 117], [152, 88, 184, 120], [151, 143, 183, 175], [83, 137, 115, 169], [18, 108, 50, 140]]"
148.tif,"[[77, 28, 109, 60], [139, 22, 171, 54], [169, 29, 201, 61], [161, 74, 193, 106], [102, 83, 134, 115], [177, 188, 209, 220], [126, 185, 158, 217], [33, 168, 65, 200]]"
149.tif,"[[16, -9, 48, 23], [-14, 0, 18, 32], [-7, 82, 25, 114], [56, 76, 88, 108], [85, 83, 117, 115], [177, 106, 209, 138], [143, 157, 175, 189], [78, 128, 110, 160], [18, 137, 50, 169]]"
150.tif,"[[0, 20, 32, 52], [74, 9, 106, 41], [131, 36, 163, 68], [201, 181, 233, 213], [114, 184, 146, 216], [122, 111, 154, 143], [33, 95, 65, 127], [16, 163, 48, 195]]"
151.tif,"[[167, 103, 199, 135], [103, 92, 135, 124], [128, 9, 160, 41], [173, 10, 205, 42], [29, 5, 61, 37], [22, 144, 54, 176], [79, 170, 111, 202]]"
152.tif,"[[119, 0, 151, 32], [130, 178, 162, 210], [80, 73, 112, 105], [76, 40, 108, 72], [18, 29, 50, 61], [11, 179, 43, 211]]"
153.tif,"[[158, 169, 190, 201], [177, 118, 209, 150], [126, 13, 158, 45], [58, 120, 90, 152], [47, 182, 79, 214]]"
154.tif,"[[155, 25, 187, 57], [57, 4, 89, 36], [66, 88, 98, 120], [132, 106, 164, 138], [9, 117, 41, 149]]"
155.tif,"[[2, 6, 34, 38], [59, 32, 91, 64], [140, 115, 172, 147], [129, 177, 161, 209], [42, 180, 74, 212], [49, 108, 81, 140]]"
156.tif,"[[53, 13, 85, 45], [109, 40, 141, 72], [191, 123, 223, 155], [180, 185, 212, 217], [93, 188, 125, 220], [100, 115, 132, 147], [11, 99, 43, 131], [-5, 167, 27, 199]]"
157.tif,"[[35, 9, 67, 41], [110, -1, 142, 31], [166, 25, 198, 57], [150, 173, 182, 205], [157, 101, 189, 133], [68, 84, 100, 116], [52, 153, 84, 185]]"
158.tif,"[[188, 40, 220, 72], [94, 20, 126, 52], [198, 124, 230, 156], [107, 194, 139, 226], [140, 153, 172, 185], [-6, 16, 26, 48], [14, 117, 46, 149]]"
159.tif,"[[196, 34, 228, 66], [109, 37, 141, 69], [11, 17, 43, 49], [20, 101, 52, 133], [86, 119, 118, 151]]"
160.tif,"[[160, 78, 192, 110], [167, 5, 199, 37], [78, -11, 110, 21], [61, 57, 93, 89], [71, 142, 103, 174], [137, 159, 169, 191], [13, 170, 45, 202]]"
161.tif,"[[205, 63, 237, 95], [-15, 39, 17, 71], [51, 56, 83, 88], [103, 164, 135, 196], [75, 196, 107, 228]]"
162.tif,"[[56, 14, 88, 46], [61, 68, 93, 100], [82, 131, 114, 163], [132, 203, 164, 235]]"
163.tif,"[[151, 57, 183, 89], [122, 90, 154, 122], [27, 61, 59, 93], [4, 139, 36, 171], [36, 185, 68, 217], [126, 144, 158, 176], [147, 207, 179, 239]]"
164.tif,"[[183, 43, 215, 75], [88, 14, 120, 46], [14, 61, 46, 93], [65, 92, 97, 124], [97, 138, 129, 170], [188, 98, 220, 130], [19, 206, 51, 238]]"
165.tif,"[[173, 208, 205, 240], [161, 103, 193, 135], [195, 62, 227, 94], [69, 27, 101, 59], [100, 153, 132, 185], [-11, 86, 21, 118]]"
