fn,bbox
43.tif,"[[109, 67, 141, 99], [181, 55, 213, 87], [127, 100, 159, 132], [201, 82, 233, 114], [159, 146, 191, 178], [191, 207, 223, 239], [26, 173, 58, 205], [23, 71, 55, 103]]"
44.tif,"[[14, 34, 46, 66], [108, 14, 140, 46], [129, 73, 161, 105], [46, 95, 78, 127], [202, 109, 234, 141], [139, 125, 171, 157], [157, 206, 189, 238], [75, 185, 107, 217]]"
45.tif,"[[58, -3, 90, 29], [173, 36, 205, 68], [89, 58, 121, 90], [183, 88, 215, 120], [201, 168, 233, 200], [118, 148, 150, 180], [9, 111, 41, 143], [-13, 87, 19, 119], [37, 192, 69, 224], [122, 201, 154, 233]]"
46.tif,"[[128, 7, 160, 39], [45, 29, 77, 61], [201, 43, 233, 75], [138, 59, 170, 91], [179, 193, 211, 225], [156, 139, 188, 171], [74, 119, 106, 151], [-7, 163, 25, 195], [78, 173, 110, 205]]"
47.tif,"[[52, 12, 84, 44], [73, 72, 105, 104], [-10, 94, 22, 126], [146, 108, 178, 140], [83, 123, 115, 155], [156, 187, 188, 219], [102, 204, 134, 236], [19, 184, 51, 216]]"
48.tif,"[[115, 30, 147, 62], [-7, -4, 25, 28], [14, 23, 46, 55], [65, 66, 97, 98], [86, 125, 118, 157], [3, 148, 35, 180], [159, 162, 191, 194], [97, 177, 129, 209]]"
49.tif,"[[62, -7, 94, 25], [84, 53, 116, 85], [1, 75, 33, 107], [156, 89, 188, 121], [94, 105, 126, 137], [166, 168, 198, 200], [112, 185, 144, 217], [30, 165, 62, 197]]"
50.tif,"[[14, 9, 46, 41], [-12, 75, 20, 107], [150, 26, 182, 58], [-13, 135, 19, 167]]"
51.tif,"[[20, -14, 52, 18], [135, 25, 167, 57], [52, 47, 84, 79], [208, 61, 240, 93], [146, 76, 178, 108], [164, 157, 196, 189], [81, 137, 113, 169], [0, 180, 32, 212], [85, 190, 117, 222]]"
52.tif,"[[208, 92, 240, 124], [186, 38, 218, 70], [103, 18, 135, 50], [22, 62, 54, 94], [107, 71, 139, 103], [107, 118, 139, 150], [4, 132, 36, 164], [182, 158, 214, 190], [-7, 188, 25, 220]]"
53.tif,"[[188, -2, 220, 30], [139, 112, 171, 144], [118, 88, 150, 120], [168, 193, 200, 225], [53, 157, 85, 189], [40, 119, 72, 151], [-7, 73, 25, 105], [55, 26, 87, 58]]"
54.tif,"[[147, 69, 179, 101], [126, 45, 158, 77], [176, 150, 208, 182], [78, 174, 110, 206], [61, 114, 93, 146], [48, 76, 80, 108], [1, 29, 33, 61]]"
55.tif,"[[196, -12, 228, 20], [115, 41, 147, 73], [94, 17, 126, 49], [144, 121, 176, 153], [126, 191, 158, 223], [53, 206, 85, 238], [45, 145, 77, 177], [29, 85, 61, 117], [16, 48, 48, 80]]"
56.tif,"[[-12, -15, 20, 17], [143, -1, 175, 31], [81, 14, 113, 46], [153, 78, 185, 110], [122, 149, 154, 181], [99, 95, 131, 127], [16, 75, 48, 107], [20, 128, 52, 160], [20, 174, 52, 206]]"
57.tif,"[[202, -7, 234, 25], [137, 53, 169, 85], [28, 16, 60, 48], [6, -8, 38, 24], [56, 97, 88, 129], [141, 106, 173, 138], [141, 153, 173, 185], [39, 167, 71, 199]]"
58.tif,"[[188, 28, 220, 60], [85, 43, 117, 75], [172, 140, 204, 172], [74, 99, 106, 131], [149, 208, 181, 240], [29, 160, 61, 192], [12, 58, 44, 90], [5, -3, 37, 29]]"
59.tif,"[[190, 34, 222, 66], [158, 105, 190, 137], [136, 51, 168, 83], [53, 31, 85, 63], [57, 84, 89, 116], [57, 130, 89, 162], [132, 170, 164, 202]]"
60.tif,"[[27, 12, 59, 44], [1, 78, 33, 110], [164, 29, 196, 61], [1, 138, 33, 170]]"
61.tif,"[[105, 11, 137, 43], [65, 63, 97, 95], [15, 23, 47, 55], [-8, 91, 24, 123]]"
62.tif,"[[9, 23, 41, 55]]"
63.tif,"[[52, -8, 84, 24], [137, 1, 169, 33], [137, 47, 169, 79], [35, 62, 67, 94], [171, 199, 203, 231], [121, 159, 153, 191], [24, 118, 56, 150]]"
64.tif,"[[141, 11, 173, 43], [123, 81, 155, 113], [112, 137, 144, 169], [67, 198, 99, 230], [-7, 174, 25, 206], [50, 96, 82, 128], [43, 35, 75, 67]]"
65.tif,"[[180, 6, 212, 38], [78, 20, 110, 52], [164, 118, 196, 150], [67, 76, 99, 108], [141, 186, 173, 218], [21, 137, 53, 169], [4, 35, 36, 67]]"
66.tif,"[[141, 11, 173, 43], [170, 155, 202, 187], [96, 72, 128, 104], [87, 203, 119, 235], [49, 113, 81, 145], [-8, 139, 24, 171], [22, 48, 54, 80]]"
67.tif,"[[113, -7, 145, 25], [199, 90, 231, 122], [102, 49, 134, 81], [176, 159, 208, 191], [131, 192, 163, 224], [56, 110, 88, 142], [9, 151, 41, 183], [39, 8, 71, 40]]"
68.tif,"[[62, 16, 94, 48], [141, 114, 173, 146]]"
69.tif,"[[171, 68, 203, 100], [97, -15, 129, 17], [88, 117, 120, 149], [48, 189, 80, 221], [44, 157, 76, 189], [50, 26, 82, 58], [-14, 146, 18, 178], [-7, 52, 25, 84]]"
70.tif,"[[117, 146, 149, 178], [173, 93, 205, 125], [183, 42, 215, 74], [202, -9, 234, 23], [83, -7, 115, 25], [72, 54, 104, 86], [-15, 58, 17, 90], [-8, -15, 24, 17]]"
71.tif,"[[107, 163, 139, 195], [164, 110, 196, 142], [173, 59, 205, 91], [192, 8, 224, 40], [73, 10, 105, 42], [62, 71, 94, 103]]"
72.tif,"[[62, 176, 94, 208], [118, 123, 150, 155], [128, 72, 160, 104], [147, 21, 179, 53], [28, 23, 60, 55], [17, 85, 49, 117]]"
73.tif,"[[115, 205, 147, 237], [125, 154, 157, 186], [144, 103, 176, 135], [93, -2, 125, 30], [25, 105, 57, 137], [14, 167, 46, 199]]"
74.tif,"[[133, -3, 165, 29], [49, 46, 81, 78], [9, 119, 41, 151], [5, 86, 37, 118]]"
75.tif,"[[176, 32, 208, 64], [136, 104, 168, 136], [132, 72, 164, 104], [75, 61, 107, 93], [11, 50, 43, 82], [-14, 128, 18, 160]]"
76.tif,"[[174, 17, 206, 49], [128, 51, 160, 83], [208, 149, 240, 181], [45, 99, 77, 131], [5, 172, 37, 204], [1, 140, 33, 172], [7, 9, 39, 41]]"
77.tif,"[[181, 207, 213, 239], [177, 175, 209, 207], [183, 44, 215, 76], [119, 164, 151, 196], [55, 153, 87, 185], [80, 69, 112, 101], [125, 70, 157, 102]]"
78.tif,"[[164, 38, 196, 70], [9, 45, 41, 77], [8, 100, 40, 132], [82, 90, 114, 122], [139, 117, 171, 149], [130, 192, 162, 224], [41, 176, 73, 208]]"
79.tif,"[[182, 182, 214, 214], [192, 64, 224, 96], [119, 69, 151, 101], [2, 75, 34, 107], [5, 161, 37, 193], [58, 101, 90, 133], [82, 178, 114, 210]]"
80.tif,"[[198, 23, 230, 55], [189, 154, 221, 186], [146, 194, 178, 226], [151, 64, 183, 96], [88, 183, 120, 215], [24, 172, 56, 204], [49, 89, 81, 121], [94, 90, 126, 122], [125, -1, 157, 31]]"
81.tif,"[[159, -1, 191, 31], [189, 143, 221, 175], [114, 60, 146, 92], [105, 191, 137, 223], [67, 101, 99, 133], [10, 127, 42, 159], [41, 36, 73, 68]]"
82.tif,"[[186, 159, 218, 191], [141, 59, 173, 91], [47, 50, 79, 82], [113, 164, 145, 196], [-4, 171, 28, 203], [52, 197, 84, 229]]"
83.tif,"[[188, -6, 220, 26], [177, 50, 209, 82], [206, 194, 238, 226], [131, 111, 163, 143], [85, 152, 117, 184], [27, 178, 59, 210], [58, 87, 90, 119], [-8, 60, 24, 92], [114, 9, 146, 41]]"
84.tif,"[[155, 160, 187, 192], [148, 99, 180, 131], [-12, 110, 20, 142], [132, 39, 164, 71], [118, 1, 150, 33]]"
85.tif,"[[180, 143, 212, 175], [135, 43, 167, 75], [41, 34, 73, 66], [107, 147, 139, 179], [-10, 154, 22, 186], [46, 180, 78, 212]]"
86.tif,"[[159, 168, 191, 200], [146, 130, 178, 162], [99, 84, 131, 116], [161, 37, 193, 69], [44, 1, 76, 33], [31, 104, 63, 136], [-11, 32, 21, 64]]"
87.tif,"[[180, 107, 212, 139], [159, 83, 191, 115], [94, 152, 126, 184], [81, 114, 113, 146], [34, 68, 66, 100], [96, 21, 128, 53]]"
88.tif,"[[199, 125, 231, 157], [153, 79, 185, 111], [97, -5, 129, 27], [84, 99, 116, 131], [36, 77, 68, 109], [43, 27, 75, 59]]"
89.tif,"[[203, 163, 235, 195], [181, 139, 213, 171], [117, 208, 149, 240], [103, 170, 135, 202], [57, 123, 89, 155], [119, 76, 151, 108], [1, 40, 33, 72], [-12, 143, 20, 175]]"
90.tif,"[[204, 110, 236, 142], [119, 114, 151, 146], [5, 181, 37, 213]]"
91.tif,"[[161, 199, 193, 231], [147, 161, 179, 193], [100, 115, 132, 147], [163, 68, 195, 100], [45, 32, 77, 64], [32, 135, 64, 167], [-10, 63, 22, 95]]"
92.tif,"[[200, 202, 232, 234], [154, 155, 186, 187], [98, 72, 130, 104], [85, 175, 117, 207], [37, 153, 69, 185], [44, 103, 76, 135]]"
93.tif,"[[161, 94, 193, 126], [168, 45, 200, 77], [103, -4, 135, 28], [86, 127, 118, 159], [36, -13, 68, 19], [39, 136, 71, 168]]"
94.tif,"[[197, 116, 229, 148], [152, 16, 184, 48], [58, 7, 90, 39], [125, 121, 157, 153], [8, 127, 40, 159], [64, 153, 96, 185]]"
95.tif,"[[202, -15, 234, 17], [175, 90, 207, 122], [58, 97, 90, 129], [-14, 64, 18, 96], [-8, 167, 24, 199], [61, 182, 93, 214], [114, 123, 146, 155], [138, 199, 170, 231]]"
96.tif,"[[196, 175, 228, 207], [148, 153, 180, 185], [155, 103, 187, 135], [90, 54, 122, 86], [73, 185, 105, 217], [23, 45, 55, 77], [26, 194, 58, 226]]"
97.tif,"[[112, 198, 144, 230], [74, 74, 106, 106], [-8, 181, 24, 213], [8, 70, 40, 102], [29, 34, 61, 66], [72, 5, 104, 37]]"
98.tif,"[[198, 131, 230, 163], [144, 163, 176, 195], [160, 7, 192, 39], [79, 114, 111, 146], [95, 3, 127, 35], [31, 16, 63, 48], [12, 105, 44, 137]]"
99.tif,"[[159, 135, 191, 167], [105, 167, 137, 199], [122, 11, 154, 43], [40, 118, 72, 150], [56, 7, 88, 39], [-7, 19, 25, 51]]"
100.tif,"[[146, 135, 178, 167], [81, 131, 113, 163], [101, 94, 133, 126], [145, 66, 177, 98], [56, -3, 88, 29], [28, 79, 60, 111], [17, 143, 49, 175]]"
101.tif,"[[129, 179, 161, 211], [173, 150, 205, 182], [129, 19, 161, 51], [84, 81, 116, 113], [46, 68, 78, 100], [56, 163, 88, 195]]"
102.tif,"[[182, -8, 214, 24], [123, 26, 155, 58], [166, 206, 198, 238], [90, 123, 122, 155], [23, 46, 55, 78]]"
103.tif,"[[92, 185, 124, 217], [136, 156, 168, 188], [201, 44, 233, 76], [92, 25, 124, 57], [47, 87, 79, 119], [9, 74, 41, 106], [19, 169, 51, 201]]"
104.tif,"[[125, 178, 157, 210], [59, 174, 91, 206], [79, 138, 111, 170], [123, 109, 155, 141], [188, -3, 220, 29], [34, 41, 66, 73], [-4, 27, 28, 59], [6, 122, 38, 154], [-5, 187, 27, 219]]"
105.tif,"[[185, 190, 217, 222], [142, 59, 174, 91], [96, 121, 128, 153], [58, 108, 90, 140], [69, 203, 101, 235], [184, 0, 216, 32], [-6, 136, 26, 168]]"
106.tif,"[[183, 63, 215, 95], [102, 170, 134, 202], [118, 59, 150, 91], [138, 22, 170, 54], [181, -6, 213, 26], [65, 7, 97, 39], [54, 71, 86, 103], [35, 161, 67, 193]]"
107.tif,"[[199, 101, 231, 133], [133, 98, 165, 130], [153, 61, 185, 93], [197, 33, 229, 65], [81, 46, 113, 78], [70, 110, 102, 142], [50, 200, 82, 232]]"
108.tif,"[[183, 55, 215, 87], [122, 204, 154, 236], [190, 6, 222, 38], [108, 88, 140, 120], [-10, 15, 22, 47], [61, 97, 93, 129], [-4, 155, 28, 187]]"
109.tif,"[[186, 107, 218, 139], [77, 88, 109, 120], [31, 150, 63, 182], [-6, 137, 26, 169], [119, 29, 151, 61]]"
110.tif,"[[187, 124, 219, 156], [169, 187, 201, 219], [122, 29, 154, 61], [109, 72, 141, 104], [38, 88, 70, 120]]"
111.tif,"[[157, 130, 189, 162], [61, 117, 93, 149], [31, 152, 63, 184]]"
112.tif,"[[156, -8, 188, 24], [126, 27, 158, 59]]"
113.tif,"[[161, 155, 193, 187], [21, 15, 53, 47], [59, 69, 91, 101]]"
114.tif,"[[201, 147, 233, 179], [163, 133, 195, 165], [33, 28, 65, 60], [99, 161, 131, 193], [33, 154, 65, 186]]"
115.tif,"[[206, 110, 238, 142], [168, 96, 200, 128], [179, 191, 211, 223], [38, -9, 70, 23], [104, 124, 136, 156], [38, 117, 70, 149]]"
116.tif,"[[183, 16, 215, 48], [126, 25, 158, 57], [57, 88, 89, 120], [119, 133, 151, 165], [198, 168, 230, 200], [-7, -15, 25, 17], [-3, 55, 29, 87]]"
117.tif,"[[146, 36, 178, 68], [208, 80, 240, 112], [86, 2, 118, 34], [71, 42, 103, 74], [55, 102, 87, 134], [33, 150, 65, 182], [22, 202, 54, 234], [140, 171, 172, 203], [124, 206, 156, 238]]"
118.tif,"[[202, 44, 234, 76], [136, 36, 168, 68], [78, 45, 110, 77], [9, 108, 41, 140], [72, 153, 104, 185], [168, 135, 200, 167], [150, 188, 182, 220]]"
119.tif,"[[171, 75, 203, 107], [105, 67, 137, 99], [47, 76, 79, 108], [41, 183, 73, 215], [137, 166, 169, 198]]"
120.tif,"[[183, 192, 215, 224], [199, 80, 231, 112], [146, 28, 178, 60], [135, 93, 167, 125], [38, 53, 70, 85], [20, 105, 52, 137], [116, 182, 148, 214]]"
121.tif,"[[177, 20, 209, 52], [110, 88, 142, 120], [180, 169, 212, 201], [41, 142, 73, 174], [1, 198, 33, 230]]"
122.tif,"[[162, 49, 194, 81], [94, 117, 126, 149], [165, 198, 197, 230], [26, 171, 58, 203]]"
123.tif,"[[195, 59, 227, 91], [182, 162, 214, 194], [134, 140, 166, 172], [140, 91, 172, 123], [75, 42, 107, 74], [58, 173, 90, 205], [8, 33, 40, 65], [11, 182, 43, 214]]"
124.tif,"[[148, 43, 180, 75], [108, 99, 140, 131], [107, 167, 139, 199], [5, 7, 37, 39], [-7, 31, 25, 63], [15, 68, 47, 100], [9, 198, 41, 230]]"
125.tif,"[[189, 185, 221, 217], [175, 69, 207, 101], [57, -3, 89, 29], [128, 78, 160, 110], [-11, 51, 21, 83], [63, 137, 95, 169]]"
126.tif,"[[192, 9, 224, 41], [153, 65, 185, 97], [151, 133, 183, 165], [167, 194, 199, 226], [37, -3, 69, 29], [59, 34, 91, 66], [10, 67, 42, 99], [-4, 124, 28, 156], [14, 180, 46, 212], [53, 164, 85, 196], [103, 193, 135, 225]]"
127.tif,"[[167, 31, 199, 63], [127, 87, 159, 119], [126, 155, 158, 187], [24, -5, 56, 27], [11, 19, 43, 51], [34, 56, 66, 88], [-11, 202, 21, 234], [28, 186, 60, 218]]"
128.tif,"[[132, 11, 164, 43], [195, 31, 227, 63], [187, 105, 219, 137], [101, 93, 133, 125], [111, 161, 143, 193], [81, 169, 113, 201], [68, 11, 100, 43], [-14, 58, 18, 90], [40, 115, 72, 147]]"
129.tif,"[[173, 43, 205, 75], [59, 13, 91, 45], [58, 82, 90, 114], [74, 142, 106, 174], [137, 161, 169, 193], [157, 149, 189, 181], [177, 180, 209, 212], [10, 142, 42, 174]]"
130.tif,"[[121, 15, 153, 47], [7, -15, 39, 17], [6, 54, 38, 86], [22, 114, 54, 146], [85, 133, 117, 165], [105, 121, 137, 153], [197, 184, 229, 216], [125, 152, 157, 184], [77, 208, 109, 240], [-9, 195, 23, 227]]"
131.tif,"[[178, 39, 210, 71], [84, 30, 116, 62], [151, 143, 183, 175], [34, 150, 66, 182], [90, 176, 122, 208]]"
132.tif,"[[185, 98, 217, 130], [124, -9, 156, 23], [59, 50, 91, 82], [23, 168, 55, 200], [43, 156, 75, 188], [63, 186, 95, 218]]"
133.tif,"[[116, 21, 148, 53], [179, 40, 211, 72], [199, 28, 231, 60], [170, 114, 202, 146], [85, 102, 117, 134], [95, 170, 127, 202], [65, 179, 97, 211], [2, -9, 34, 23], [52, 21, 84, 53], [23, 124, 55, 156]]"
134.tif,"[[128, -3, 160, 29], [148, -15, 180, 17], [167, 16, 199, 48], [119, 71, 151, 103], [173, 119, 205, 151], [34, 59, 66, 91], [43, 127, 75, 159], [13, 136, 45, 168]]"
135.tif,"[[173, 67, 205, 99], [56, 73, 88, 105], [-10, 144, 22, 176], [58, 159, 90, 191], [112, 99, 144, 131], [136, 176, 168, 208]]"
136.tif,"[[182, 84, 214, 116], [65, 91, 97, 123], [-6, 58, 26, 90], [-1, 161, 31, 193], [68, 176, 100, 208], [121, 117, 153, 149], [145, 193, 177, 225]]"
137.tif,"[[153, 150, 185, 182], [178, 66, 210, 98], [1, 46, 33, 78], [55, -14, 87, 18], [79, 63, 111, 95], [-1, 156, 31, 188], [72, 201, 104, 233]]"
138.tif,"[[175, 58, 207, 90], [185, 127, 217, 159], [154, 135, 186, 167], [60, 24, 92, 56], [113, 81, 145, 113], [5, 107, 37, 139], [27, 147, 59, 179]]"
139.tif,"[[201, -6, 233, 26], [126, 49, 158, 81], [95, 58, 127, 90], [103, 140, 135, 172], [165, 134, 197, 166], [194, 141, 226, 173], [187, 186, 219, 218], [128, 195, 160, 227], [54, 4, 86, 36]]"
140.tif,"[[202, -5, 234, 27], [171, 76, 203, 108], [181, 144, 213, 176], [150, 153, 182, 185], [138, -6, 170, 26], [56, 42, 88, 74], [109, 98, 141, 130], [1, 125, 33, 157], [23, 165, 55, 197]]"
141.tif,"[[117, 25, 149, 57], [179, 19, 211, 51], [208, 26, 240, 58], [201, 71, 233, 103], [141, 80, 173, 112], [166, 182, 198, 214], [73, 165, 105, 197]]"
142.tif,"[[208, 41, 240, 73], [123, 29, 155, 61], [133, 97, 165, 129], [102, 106, 134, 138], [110, 187, 142, 219], [173, 182, 205, 214], [202, 189, 234, 221], [8, -5, 40, 27], [61, 51, 93, 83]]"
143.tif,"[[56, -11, 88, 21], [110, 37, 142, 69], [179, 52, 211, 84], [20, 130, 52, 162], [49, 137, 81, 169], [142, 160, 174, 192], [176, 162, 208, 194], [42, 182, 74, 214]]"
144.tif,"[[13, 29, 45, 61], [42, 36, 74, 68], [135, 58, 167, 90], [169, 61, 201, 93], [168, 116, 200, 148], [100, 110, 132, 142], [35, 81, 67, 113], [201, 192, 233, 224], [51, 194, 83, 226], [0, 192, 32, 224]]"
145.tif,"[[182, 61, 214, 93], [-7, 65, 25, 97], [27, 67, 59, 99], [26, 123, 58, 155], [100, 112, 132, 144], [157, 139, 189, 171], [59, 198, 91, 230]]"
146.tif,"[[26, 29, 58, 61], [56, 36, 88, 68], [148, 59, 180, 91], [182, 61, 214, 93], [182, 117, 214, 149], [113, 110, 145, 142], [48, 81, 80, 113], [-11, 90, 21, 122], [64, 195, 96, 227], [13, 192, 45, 224]]"
147.tif,"[[134, -11, 166, 21], [5, 74, 37, 106], [97, 97, 129, 129], [132, 99, 164, 131], [131, 155, 163, 187], [63, 148, 95, 180], [-2, 119, 30, 151], [205, 144, 237, 176]]"
148.tif,"[[191, 52, 223, 84], [126, 23, 158, 55], [66, 32, 98, 64], [181, 182, 213, 214], [141, 136, 173, 168], [91, 134, 123, 166], [81, 179, 113, 211], [-6, 170, 26, 202], [-2, 116, 30, 148]]"
149.tif,"[[201, -8, 233, 24], [72, 0, 104, 32], [42, 9, 74, 41], [49, 91, 81, 123], [112, 85, 144, 117], [141, 92, 173, 124], [199, 166, 231, 198], [134, 137, 166, 169], [74, 146, 106, 178]]"
150.tif,"[[56, 22, 88, 54], [-12, 15, 20, 47], [130, 11, 162, 43], [187, 38, 219, 70], [170, 186, 202, 218], [178, 113, 210, 145], [89, 97, 121, 129], [72, 165, 104, 197]]"
151.tif,"[[203, 27, 235, 59], [164, 100, 196, 132], [160, 67, 192, 99], [102, 56, 134, 88], [38, 45, 70, 77], [14, 123, 46, 155], [95, 207, 127, 239], [5, 199, 37, 231]]"
152.tif,"[[161, 186, 193, 218], [180, 135, 212, 167], [129, 30, 161, 62], [125, -3, 157, 29], [67, -14, 99, 18], [61, 137, 93, 169], [50, 199, 82, 231]]"
153.tif,"[[117, 199, 149, 231], [173, 146, 205, 178], [183, 95, 215, 127], [202, 44, 234, 76], [83, 46, 115, 78], [72, 108, 104, 140], [-15, 111, 17, 143], [-8, 38, 24, 70]]"
154.tif,"[[123, 74, 155, 106], [131, 1, 163, 33], [42, -15, 74, 17], [25, 53, 57, 85], [35, 138, 67, 170], [101, 155, 133, 187]]"
155.tif,"[[190, 158, 222, 190], [200, 106, 232, 138], [100, 57, 132, 89], [89, 119, 121, 151], [2, 122, 34, 154], [9, 49, 41, 81]]"
156.tif,"[[84, 26, 116, 58], [16, 19, 48, 51], [158, 15, 190, 47], [199, 190, 231, 222], [206, 117, 238, 149], [117, 101, 149, 133], [100, 169, 132, 201], [7, 150, 39, 182]]"
157.tif,"[[159, 104, 191, 136], [166, 31, 198, 63], [77, 15, 109, 47], [61, 83, 93, 115], [70, 168, 102, 200], [136, 185, 168, 217], [13, 196, 45, 228]]"
158.tif,"[[155, 38, 187, 70], [200, 171, 232, 203], [114, -8, 146, 24], [64, -10, 96, 22], [55, 34, 87, 66], [74, 135, 106, 167], [-6, 195, 26, 227]]"
159.tif,"[[189, 60, 221, 92], [196, -13, 228, 19], [91, 39, 123, 71], [-2, 19, 30, 51], [101, 123, 133, 155], [167, 141, 199, 173], [10, 193, 42, 225], [43, 152, 75, 184]]"
160.tif,"[[121, 65, 153, 97], [129, -8, 161, 24], [23, 44, 55, 76], [33, 128, 65, 160], [99, 146, 131, 178]]"
